empresa,faturamento_empresa_brl,produto,tipo_cliente,mercado_principal,indice_concorrencia_1a5,indice_valor_agregado_1a5,margem_media_percentual,indice_complexidade_produtiva_1a5,indice_capex_1a5,indice_escalabilidade_1a5,indice_exigencia_regulatoria_1a5,certificacoes_principais,indice_compatibilidade_refugo_1a5,indice_compatibilidade_operacao_fazenda_1a5
BRF Ingredients,53000000000.0,Bebida funcional com manga,B2C,Externo,3.0,3.0,22.37,3.0,1.0,2.0,2.0,MAPA,3.0,4.0
Bunge Brasil,95000000000.0,Concentrado de manga,B2B,Interno,5.0,3.0,45.74,3.0,3.0,3.0,3.0,ANVISA,1.0,3.0
AgroDoce Nordeste,220000000.0,Snack de manga desidratada,B2B,nao informado,1.0,2.5,23.13,3.0,2.0,4.0,2.0,Internacional,2.0,3.0
Ambev (bebidas),4200000000.0,Geleia/compota,B2C,Interno,3.0,3.0,30.2,2.0,2.0,5.0,4.0,MAPA,1.0,3.0
Kerry do Brasil,9000000000.0,Cubos IQF,B2C,Ambos,3.0,4.0,31.21,4.0,4.0,3.0,4.0,Nenhuma,4.0,2.0
TropFruit Ingredients,650000000.0,Purê de manga asséptico,B2C,Interno,5.0,3.0,46.64,5.0,1.0,2.0,3.0,Nenhuma,1.0,4.0
AgroDoce Nordeste,220000000.0,Pectina,B2B,Interno,3.0,3.0,18.81,3.0,3.0,5.0,3.0,ANVISA,1.0,1.0
NordFruit Export,540000000.0,Pectina,B2B,Ambos,1.0,2.5,11.3,3.0,1.0,5.0,2.0,MAPA,4.0,4.0
MangaVale Alimentos,480000000.0,Bebida funcional com manga,B2B,Externo,1.0,2.5,17.72,2.0,3.0,3.0,3.0,ISO/HACCP,3.0,3.0
Duas Rodas,4200000000.0,Fibra alimentar de manga,B2B,Interno,5.0,4.0,42.18,3.0,2.0,3.0,5.0,Nenhuma,2.0,3.0
JBS Ingredients,375000000000.0,Geleia/compota,B2B,Ambos,2.0,2.0,22.93,1.0,2.0,2.0,3.0,MAPA,1.0,1.0
Kerry do Brasil,9000000000.0,Concentrado de manga,B2C,Externo,4.0,3.0,23.31,3.0,2.0,4.0,3.0,MAPA,1.0,3.0
Cargill Brasil,115000000000.0,Geleia/compota,B2B,Externo,1.0,2.5,18.84,4.0,3.0,4.0,1.0,nao informado,2.0,3.0
JBS Ingredients,375000000000.0,Snack de manga desidratada,B2B,Externo,2.0,3.0,15.86,3.0,3.0,3.0,3.0,MAPA,4.0,3.0
Duas Rodas,4200000000.0,Ração / ingrediente para ração animal,B2C,Externo,1.0,1.5,18.2,2.0,3.0,2.0,1.0,ISO/HACCP,4.0,3.0
VerdePulp Brasil,310000000.0,Aroma / extrato natural,B2B,Interno,2.0,2.0,15.74,3.0,5.0,3.0,1.0,ANVISA,2.0,1.0
MangaTech Foods,760000000.0,nao informado,B2C,Interno,2.0,3.0,46.42,3.0,3.0,4.0,3.0,Nenhuma,4.0,4.0
JBS Ingredients,375000000000.0,Manga desidratada em pedaços,B2B,Interno,3.0,2.0,10.99,3.0,4.0,4.0,1.0,MAPA,1.0,2.0
Cutrale,30000000000.0,nao informado,B2B,Interno,2.0,2.5,32.52,3.0,4.0,4.0,2.0,Internacional,3.0,3.0
TropFruit Ingredients,650000000.0,nao informado,B2B,Interno,3.0,2.5,38.24,3.0,4.0,3.0,2.0,MAPA,1.0,2.0
Cutrale,30000000000.0,Fibra alimentar de manga,B2B,Externo,1.0,4.5,52.9,5.0,4.0,4.0,4.0,nao informado,3.0,5.0
MangaTech Foods,760000000.0,Ingrediente antioxidante,B2B,Externo,2.0,3.0,29.27,4.0,2.0,5.0,2.0,MAPA,1.0,1.0
VerdePulp Brasil,4200000000.0,Bebida alcoólica / fermentado,B2B,Ambos,5.0,1.5,19.57,1.0,5.0,5.0,2.0,Nenhuma,1.0,2.0
VerdePulp Brasil,310000000.0,Pó de manga (spray-dried),B2B,nao informado,4.0,1.0,7.39,1.0,5.0,3.0,1.0,nao informado,3.0,1.0
VerdePulp Brasil,310000000.0,Concentrado de manga,B2B,Ambos,4.0,3.0,19.7,3.0,1.0,3.0,3.0,ISO/HACCP,3.0,3.0
Fazenda Sol do Vale,180000000.0,Esfoliante natural,B2C,Interno,3.0,3.0,34.18,4.0,2.0,3.0,4.0,Nenhuma,1.0,1.0
Kerry do Brasil,9000000000.0,Biogás / energia,B2C,Interno,5.0,3.0,14.07,3.0,3.0,1.0,3.0,MAPA,1.0,3.0
nao informado,760000000.0,Pectina,B2B,Ambos,1.0,4.5,29.39,4.0,3.0,4.0,5.0,ANVISA,4.0,2.0
MangaTech Foods,760000000.0,Suco pronto (NFC),B2B,Interno,2.0,2.5,29.2,1.0,4.0,3.0,4.0,Nenhuma,3.0,2.0
Louis Dreyfus Company Brasil,18000000000.0,Molho agridoce / culinário,B2C,Interno,3.0,1.5,14.44,1.0,2.0,4.0,2.0,MAPA,2.0,3.0
BRF Ingredients,53000000000.0,Base cosmética (extrato),B2B,Interno,2.0,4.5,20.65,4.0,2.0,2.0,5.0,ANVISA,1.0,4.0
AgroDoce Nordeste,220000000.0,Fibra alimentar de manga,B2B,Interno,4.0,3.5,46.15,3.0,4.0,3.0,4.0,ISO/HACCP,1.0,3.0
VerdePulp Brasil,310000000.0,Bebida funcional com manga,B2B,Ambos,3.0,3.5,29.01,4.0,2.0,4.0,3.0,ANVISA,2.0,4.0
AgroDoce Nordeste,220000000.0,Manga desidratada em pedaços,B2B,Interno,4.0,3.5,26.7,3.0,3.0,5.0,4.0,MAPA,2.0,2.0
Cutrale,30000000000.0,Snack de manga desidratada,B2C,nao informado,2.0,2.5,29.54,3.0,2.0,5.0,2.0,ANVISA,2.0,2.0
Fazenda Sol do Vale,180000000.0,Biocomposto / fertilizante orgânico,B2B,Interno,5.0,3.5,14.8,4.0,5.0,2.0,3.0,ANVISA,4.0,3.0
MangaVale Alimentos,480000000.0,Pectina,B2C,Ambos,3.0,3.0,27.93,3.0,1.0,5.0,3.0,MAPA,3.0,1.0
Duas Rodas,4200000000.0,Base para néctar,B2B,Interno,5.0,4.0,38.58,3.0,5.0,3.0,4.0,ISO/HACCP,4.0,5.0
Louis Dreyfus Company Brasil,18000000000.0,Sabonete / hidratante com manga,B2B,Externo,3.0,1.0,9.75,1.0,3.0,3.0,1.0,ISO/HACCP,2.0,2.0
Ambev (bebidas),4200000000.0,Snack de manga desidratada,B2B,Externo,5.0,3.5,20.23,3.0,2.0,2.0,4.0,Internacional,2.0,4.0
MangaTech Foods,760000000.0,Polpa congelada,B2C,Ambos,3.0,2.5,23.46,3.0,2.0,3.0,2.0,Nenhuma,5.0,5.0
Citrosuco,25000000000.0,Bebida alcoólica / fermentado,B2B,Interno,4.0,3.0,19.25,4.0,4.0,3.0,4.0,ISO/HACCP,4.0,1.0
BioManga Circular,120000000.0,Corante natural,B2B,Interno,3.0,3.0,24.49,3.0,4.0,3.0,2.0,Nenhuma,3.0,1.0
nao informado,540000000.0,Concentrado de manga,B2B,nao informado,2.0,2.0,17.4,3.0,2.0,2.0,3.0,ISO/HACCP,4.0,3.0
VerdePulp Brasil,310000000.0,Sorbet / picolé,nao informado,Interno,2.0,2.0,38.11,2.0,3.0,3.0,2.0,Nenhuma,3.0,2.0
Citrosuco,4200000000.0,Geleia/compota,B2B,Ambos,3.0,3.5,30.2,2.0,2.0,5.0,5.0,ANVISA,2.0,3.0
JBS Ingredients,375000000000.0,Pectina,B2B,Interno,3.0,2.5,33.48,2.0,3.0,2.0,3.0,MAPA,5.0,3.0
AgroDoce Nordeste,220000000.0,Suco pronto (NFC),B2C,Ambos,2.0,1.5,9.52,1.0,3.0,1.0,2.0,Nenhuma,3.0,1.0
Cutrale,30000000000.0,Biogás / energia,B2B,Externo,4.0,2.5,17.57,4.0,3.0,3.0,1.0,Nenhuma,1.0,2.0
MangaTech Foods,760000000.0,Óleo / manteiga de semente de manga,B2C,Ambos,3.0,4.0,45.68,3.0,3.0,5.0,5.0,ANVISA,2.0,3.0
Citrosuco,25000000000.0,Cubos IQF,B2B,Externo,1.0,3.0,45.96,4.0,3.0,2.0,2.0,MAPA,1.0,5.0
Cargill Brasil,115000000000.0,Ração / ingrediente para ração animal,B2B,Externo,2.0,2.5,41.74,3.0,3.0,3.0,3.0,ISO/HACCP,3.0,3.0
Ambev (bebidas),72000000000.0,Snack de manga desidratada,B2B,Externo,3.0,3.5,30.05,3.0,2.0,3.0,4.0,MAPA,1.0,4.0
VerdePulp Brasil,310000000.0,Aroma / extrato natural,B2B,Interno,2.0,3.5,43.16,4.0,3.0,5.0,3.0,MAPA,1.0,1.0
Cargill Brasil,115000000000.0,Suco pronto (NFC),B2B,Interno,3.0,2.5,37.7,3.0,2.0,4.0,2.0,Internacional,1.0,4.0
BRF Ingredients,53000000000.0,Snack de manga desidratada,B2B,Interno,1.0,4.0,17.14,4.0,5.0,3.0,4.0,ISO/HACCP,1.0,2.0
Duas Rodas,4200000000.0,Purê de manga asséptico,B2B,nao informado,3.0,2.5,33.21,4.0,3.0,3.0,1.0,ANVISA,1.0,1.0
nao informado,480000000.0,Manga desidratada em pedaços,B2B,nao informado,4.0,3.0,19.08,3.0,1.0,3.0,3.0,Nenhuma,3.0,4.0
Bunge Brasil,95000000000.0,Sabonete / hidratante com manga,B2C,Interno,4.0,3.5,34.96,4.0,3.0,3.0,3.0,MAPA,2.0,1.0
JBS Ingredients,375000000000.0,Ingrediente antioxidante,nao informado,Interno,3.0,1.5,12.24,1.0,3.0,3.0,2.0,Nenhuma,1.0,5.0
Cutrale,30000000000.0,Base cosmética (extrato),nao informado,nao informado,2.0,3.5,41.05,4.0,2.0,2.0,3.0,ISO/HACCP,2.0,2.0
Kerry do Brasil,9000000000.0,Geleia/compota,B2B,Interno,3.0,3.0,27.57,3.0,2.0,3.0,3.0,Nenhuma,5.0,5.0
Bunge Brasil,95000000000.0,Geleia/compota,B2C,Interno,3.0,3.0,41.49,3.0,1.0,5.0,3.0,Nenhuma,2.0,4.0
TropFruit Ingredients,650000000.0,Sorbet / picolé,B2B,Interno,2.0,3.0,10.27,1.0,1.0,3.0,3.0,Nenhuma,2.0,3.0
Kerry do Brasil,9000000000.0,Bebida alcoólica / fermentado,B2B,Interno,1.0,5.0,25.05,5.0,5.0,4.0,5.0,MAPA,4.0,2.0
MangaTech Foods,760000000.0,Fragrância para perfumaria,B2B,Interno,3.0,4.0,13.81,4.0,3.0,2.0,4.0,MAPA,2.0,2.0
Fazenda Sol do Vale,180000000.0,Base para néctar,B2B,Ambos,4.0,1.5,30.39,2.0,2.0,5.0,1.0,ISO/HACCP,3.0,1.0
Duas Rodas,4200000000.0,Molho agridoce / culinário,nao informado,Interno,2.0,3.0,39.76,3.0,2.0,3.0,3.0,MAPA,1.0,3.0
Bunge Brasil,95000000000.0,Fragrância para perfumaria,nao informado,Interno,2.0,3.5,34.08,5.0,3.0,2.0,2.0,MAPA,1.0,2.0
nao informado,4200000000.0,Ração / ingrediente para ração animal,B2B,Interno,4.0,2.5,27.93,3.0,4.0,4.0,2.0,ISO/HACCP,1.0,1.0
Citrosuco,25000000000.0,Snack de manga desidratada,B2C,Interno,2.0,2.5,13.65,3.0,1.0,4.0,3.0,ANVISA,3.0,2.0
Fazenda Sol do Vale,180000000.0,Pó de manga (spray-dried),B2B,Ambos,1.0,2.0,29.31,2.0,3.0,3.0,2.0,nao informado,5.0,3.0
MangaTech Foods,760000000.0,Snack de manga desidratada,B2B,Interno,1.0,3.0,29.89,3.0,1.0,2.0,3.0,Nenhuma,1.0,2.0
MangaVale Alimentos,480000000.0,Manga desidratada em pedaços,B2B,Interno,2.0,3.0,28.17,4.0,3.0,3.0,2.0,Internacional,4.0,5.0
AgroDoce Nordeste,220000000.0,Cubos IQF,B2B,nao informado,2.0,1.5,13.07,2.0,2.0,4.0,1.0,ISO/HACCP,1.0,5.0
Fazenda Sol do Vale,180000000.0,Corante natural,B2B,Ambos,3.0,3.5,42.86,3.0,4.0,2.0,4.0,MAPA,5.0,1.0
AgroDoce Nordeste,220000000.0,Purê de manga asséptico,B2C,nao informado,3.0,4.0,42.71,3.0,3.0,3.0,5.0,Nenhuma,2.0,3.0
MangaTech Foods,760000000.0,Biogás / energia,B2B,Ambos,3.0,2.5,22.07,2.0,2.0,4.0,3.0,ANVISA,1.0,1.0
TropFruit Ingredients,650000000.0,Snack de manga desidratada,nao informado,Interno,5.0,2.0,35.8,3.0,3.0,3.0,1.0,ISO/HACCP,3.0,2.0
Cargill Brasil,115000000000.0,Geleia/compota,B2B,Interno,5.0,3.5,38.19,2.0,4.0,3.0,5.0,Internacional,1.0,2.0
Cutrale,30000000000.0,Corante natural,B2C,Externo,5.0,2.5,23.67,3.0,3.0,5.0,2.0,MAPA,3.0,3.0
Fazenda Sol do Vale,180000000.0,Pectina,B2C,Interno,3.0,3.0,11.82,5.0,2.0,4.0,1.0,ISO/HACCP,1.0,5.0
Kerry do Brasil,9000000000.0,Base para néctar,B2C,Interno,3.0,4.0,26.26,4.0,1.0,1.0,4.0,Nenhuma,2.0,2.0
Bunge Brasil,95000000000.0,nao informado,B2C,Interno,3.0,4.5,45.75,5.0,2.0,3.0,4.0,ISO/HACCP,5.0,2.0
AgroDoce Nordeste,220000000.0,Chutney de manga,B2B,Ambos,4.0,2.5,16.15,2.0,5.0,1.0,3.0,ISO/HACCP,3.0,5.0
AgroDoce Nordeste,220000000.0,Bebida funcional com manga,B2B,Externo,3.0,3.0,20.4,3.0,2.0,5.0,3.0,ANVISA,1.0,1.0
Duas Rodas,4200000000.0,Base cosmética (extrato),B2B,Ambos,1.0,3.0,26.33,5.0,2.0,4.0,1.0,MAPA,1.0,3.0
NordFruit Export,540000000.0,nao informado,B2C,Interno,3.0,1.5,16.07,2.0,3.0,3.0,1.0,Internacional,1.0,1.0
nao informado,760000000.0,Esfoliante natural,B2B,Interno,4.0,1.5,27.93,1.0,3.0,3.0,2.0,ANVISA,4.0,1.0
JBS Ingredients,375000000000.0,Biocomposto / fertilizante orgânico,nao informado,Ambos,1.0,3.0,11.1,3.0,3.0,1.0,3.0,ISO/HACCP,4.0,4.0
BRF Ingredients,53000000000.0,Geleia/compota,B2C,Externo,5.0,3.0,27.01,3.0,5.0,4.0,3.0,ANVISA,1.0,4.0
Cargill Brasil,115000000000.0,Biocomposto / fertilizante orgânico,B2B,Externo,4.0,3.0,34.44,1.0,4.0,2.0,5.0,Internacional,3.0,2.0
Duas Rodas,4200000000.0,Óleo / manteiga de semente de manga,B2B,Externo,3.0,2.5,27.93,1.0,2.0,3.0,4.0,ISO/HACCP,1.0,1.0
MangaTech Foods,760000000.0,Óleo / manteiga de semente de manga,B2B,Interno,3.0,4.0,17.52,4.0,3.0,3.0,4.0,MAPA,1.0,1.0
NordFruit Export,4200000000.0,Pectina,B2B,Externo,2.0,3.0,34.19,4.0,2.0,3.0,2.0,nao informado,3.0,2.0
Fazenda Sol do Vale,180000000.0,Purê de manga asséptico,B2B,Externo,4.0,4.5,14.56,4.0,3.0,2.0,5.0,Nenhuma,3.0,4.0
BioManga Circular,120000000.0,Fibra alimentar de manga,B2C,Interno,3.0,2.5,13.79,3.0,4.0,1.0,2.0,ANVISA,4.0,2.0
TropFruit Ingredients,650000000.0,Base para néctar,B2B,Interno,4.0,3.0,30.49,4.0,1.0,4.0,2.0,MAPA,1.0,5.0
AgroDoce Nordeste,220000000.0,Pectina,B2C,Ambos,3.0,3.0,29.01,3.0,2.0,3.0,3.0,ANVISA,4.0,1.0
Kerry do Brasil,9000000000.0,Fibra alimentar de manga,B2B,Interno,5.0,4.0,26.0,4.0,3.0,3.0,4.0,Nenhuma,1.0,3.0
VerdePulp Brasil,310000000.0,Ração / ingrediente para ração animal,B2B,Externo,4.0,3.5,42.9,5.0,2.0,2.0,2.0,ISO/HACCP,2.0,3.0
Louis Dreyfus Company Brasil,18000000000.0,Ingrediente antioxidante,B2B,Interno,1.0,2.0,13.75,1.0,5.0,3.0,3.0,ANVISA,2.0,1.0
Ambev (bebidas),72000000000.0,Bebida alcoólica / fermentado,B2B,Interno,4.0,2.0,38.05,3.0,4.0,4.0,1.0,MAPA,1.0,1.0
BioManga Circular,4200000000.0,Sabonete / hidratante com manga,B2B,Interno,3.0,2.5,21.74,3.0,3.0,4.0,2.0,ISO/HACCP,5.0,4.0
MangaVale Alimentos,480000000.0,Ração / ingrediente para ração animal,B2C,Interno,5.0,2.0,19.79,1.0,3.0,2.0,3.0,Internacional,3.0,4.0
MangaTech Foods,760000000.0,Ração / ingrediente para ração animal,B2B,nao informado,1.0,3.5,31.78,3.0,1.0,5.0,4.0,Internacional,2.0,4.0
Kerry do Brasil,9000000000.0,Biocomposto / fertilizante orgânico,B2B,Externo,5.0,2.0,34.98,3.0,2.0,4.0,1.0,MAPA,2.0,4.0
TropFruit Ingredients,650000000.0,Geleia/compota,nao informado,Externo,3.0,2.5,12.43,3.0,2.0,4.0,2.0,ISO/HACCP,2.0,3.0
nao informado,540000000.0,Ingrediente antioxidante,B2B,Interno,2.0,2.0,12.5,3.0,4.0,4.0,1.0,MAPA,2.0,3.0
BioManga Circular,120000000.0,Óleo / manteiga de semente de manga,B2B,Externo,4.0,2.5,42.28,3.0,3.0,5.0,2.0,MAPA,3.0,1.0
Citrosuco,25000000000.0,Biogás / energia,B2B,Interno,5.0,2.0,36.67,1.0,2.0,5.0,3.0,MAPA,3.0,4.0
Cutrale,30000000000.0,Suco pronto (NFC),B2B,Externo,5.0,2.5,34.02,3.0,1.0,3.0,2.0,ISO/HACCP,2.0,4.0
Bunge Brasil,4200000000.0,Ingrediente antioxidante,B2B,Ambos,1.0,3.5,37.13,3.0,1.0,5.0,4.0,Nenhuma,2.0,2.0
AgroDoce Nordeste,220000000.0,Base para néctar,nao informado,Externo,1.0,3.5,48.19,3.0,2.0,2.0,4.0,ISO/HACCP,3.0,3.0
AgroDoce Nordeste,4200000000.0,Base para néctar,B2B,Interno,4.0,1.5,24.48,1.0,3.0,3.0,2.0,MAPA,4.0,3.0
VerdePulp Brasil,310000000.0,Suco pronto (NFC),B2B,nao informado,2.0,4.0,25.86,5.0,3.0,3.0,3.0,Nenhuma,1.0,3.0
Fazenda Sol do Vale,180000000.0,Base cosmética (extrato),B2B,Interno,2.0,1.5,40.21,1.0,3.0,3.0,2.0,MAPA,4.0,2.0
Citrosuco,25000000000.0,Geleia/compota,B2B,Interno,4.0,3.0,35.86,3.0,3.0,1.0,3.0,ANVISA,4.0,4.0
MangaVale Alimentos,480000000.0,Biocomposto / fertilizante orgânico,B2B,Ambos,2.0,3.0,42.51,4.0,2.0,4.0,2.0,ANVISA,2.0,2.0
AgroDoce Nordeste,220000000.0,Fibra alimentar de manga,B2B,Externo,1.0,2.5,30.55,2.0,3.0,2.0,3.0,MAPA,1.0,3.0
NordFruit Export,540000000.0,Ração / ingrediente para ração animal,B2C,Ambos,3.0,3.0,13.32,2.0,3.0,4.0,4.0,Nenhuma,1.0,1.0
Duas Rodas,4200000000.0,Base cosmética (extrato),B2B,Ambos,3.0,4.0,47.08,3.0,3.0,4.0,5.0,ISO/HACCP,1.0,5.0
Cargill Brasil,115000000000.0,Bebida funcional com manga,B2B,Ambos,3.0,4.0,24.66,4.0,3.0,4.0,4.0,Nenhuma,5.0,3.0
Bunge Brasil,95000000000.0,Biogás / energia,B2B,Ambos,1.0,1.5,25.03,2.0,4.0,4.0,1.0,Internacional,2.0,3.0
VerdePulp Brasil,310000000.0,Subproduto industrial de bagaço processado,B2C,nao informado,3.0,3.0,14.68,3.0,3.0,5.0,3.0,MAPA,2.0,1.0
BioManga Circular,120000000.0,Suco pronto (NFC),B2B,Externo,3.0,3.0,27.92,3.0,2.0,5.0,3.0,Nenhuma,3.0,2.0
MangaTech Foods,760000000.0,Subproduto industrial de bagaço processado,B2B,Ambos,5.0,3.0,13.14,2.0,4.0,4.0,2.0,nao informado,1.0,4.0
Cutrale,30000000000.0,Fragrância para perfumaria,nao informado,Ambos,3.0,2.5,29.21,3.0,2.0,3.0,2.0,Nenhuma,1.0,2.0
BRF Ingredients,53000000000.0,Sabonete / hidratante com manga,nao informado,Ambos,3.0,4.5,38.14,4.0,3.0,2.0,5.0,ISO/HACCP,3.0,4.0
nao informado,25000000000.0,Cubos IQF,B2B,Interno,4.0,3.5,34.4,3.0,1.0,4.0,5.0,Nenhuma,3.0,5.0
NordFruit Export,540000000.0,Bebida funcional com manga,B2C,Ambos,3.0,2.5,25.89,1.0,4.0,3.0,4.0,MAPA,2.0,1.0
Fazenda Sol do Vale,180000000.0,Ingrediente antioxidante,B2B,Interno,3.0,3.0,17.67,2.0,4.0,3.0,4.0,Nenhuma,3.0,2.0
Bunge Brasil,95000000000.0,Corante natural,B2B,Interno,4.0,3.5,39.73,2.0,3.0,2.0,5.0,MAPA,4.0,1.0
Bunge Brasil,95000000000.0,Bebida alcoólica / fermentado,B2B,Ambos,2.0,2.0,27.93,1.0,4.0,1.0,3.0,MAPA,3.0,2.0
AgroDoce Nordeste,220000000.0,Biogás / energia,B2B,Externo,2.0,3.0,32.52,3.0,3.0,4.0,3.0,MAPA,2.0,3.0
MangaVale Alimentos,480000000.0,Pó de manga (spray-dried),B2C,Interno,5.0,2.5,19.97,3.0,2.0,5.0,2.0,ISO/HACCP,1.0,2.0
Kerry do Brasil,4200000000.0,Ingrediente antioxidante,B2B,Ambos,5.0,3.5,38.8,4.0,3.0,2.0,3.0,Nenhuma,1.0,3.0
Bunge Brasil,4200000000.0,nao informado,B2B,Interno,2.0,1.0,10.53,1.0,4.0,2.0,1.0,ISO/HACCP,4.0,5.0
BioManga Circular,120000000.0,Óleo / manteiga de semente de manga,B2B,Interno,4.0,2.5,39.37,3.0,5.0,4.0,2.0,nao informado,2.0,5.0
TropFruit Ingredients,650000000.0,Biocomposto / fertilizante orgânico,B2B,Interno,5.0,2.5,36.47,2.0,4.0,2.0,3.0,Nenhuma,5.0,2.0
nao informado,95000000000.0,Subproduto industrial de bagaço processado,B2C,Interno,4.0,3.5,41.2,4.0,5.0,4.0,3.0,ANVISA,1.0,1.0
TropFruit Ingredients,650000000.0,Biocomposto / fertilizante orgânico,B2C,Ambos,5.0,3.0,16.3,3.0,4.0,3.0,3.0,ANVISA,4.0,5.0
BRF Ingredients,53000000000.0,Corante natural,B2C,Interno,3.0,3.0,23.4,3.0,3.0,3.0,2.0,MAPA,1.0,3.0
nao informado,9000000000.0,Corante natural,B2B,Externo,5.0,3.0,30.91,3.0,3.0,2.0,3.0,Nenhuma,1.0,2.0
Cargill Brasil,115000000000.0,Purê de manga asséptico,B2B,Ambos,5.0,1.5,20.55,1.0,2.0,1.0,2.0,Nenhuma,2.0,3.0
Duas Rodas,4200000000.0,Sorbet / picolé,B2B,Externo,1.0,3.0,15.91,4.0,3.0,4.0,3.0,ANVISA,3.0,3.0
Louis Dreyfus Company Brasil,4200000000.0,Pó de manga (spray-dried),B2B,Interno,3.0,3.0,29.55,3.0,4.0,3.0,3.0,Nenhuma,1.0,1.0
TropFruit Ingredients,650000000.0,Subproduto industrial de bagaço processado,B2B,Interno,4.0,3.0,44.48,3.0,5.0,1.0,3.0,ISO/HACCP,2.0,4.0
VerdePulp Brasil,310000000.0,Chutney de manga,B2B,Interno,3.0,2.0,42.41,1.0,4.0,3.0,3.0,ANVISA,4.0,1.0
AgroDoce Nordeste,220000000.0,Sabonete / hidratante com manga,B2B,Interno,4.0,3.0,17.41,2.0,3.0,5.0,4.0,Internacional,3.0,2.0
MangaTech Foods,760000000.0,Sorbet / picolé,B2B,Interno,4.0,3.5,46.43,2.0,3.0,3.0,5.0,Nenhuma,2.0,3.0
nao informado,4200000000.0,Base cosmética (extrato),B2C,Interno,2.0,2.5,27.93,3.0,3.0,3.0,2.0,Nenhuma,3.0,2.0
BioManga Circular,120000000.0,Pectina,B2C,Ambos,5.0,3.0,16.26,2.0,2.0,2.0,4.0,MAPA,1.0,3.0
MangaTech Foods,4200000000.0,Pó de manga (spray-dried),B2B,Interno,5.0,3.0,27.93,4.0,2.0,4.0,2.0,MAPA,3.0,2.0
Ambev (bebidas),72000000000.0,Sabonete / hidratante com manga,B2B,Externo,4.0,3.0,11.71,4.0,3.0,3.0,2.0,Nenhuma,1.0,1.0
Cutrale,30000000000.0,Pó de manga (spray-dried),B2B,Ambos,4.0,2.5,10.08,4.0,3.0,4.0,1.0,ISO/HACCP,4.0,3.0
Ambev (bebidas),72000000000.0,Corante natural,B2C,Ambos,5.0,2.5,44.85,3.0,3.0,2.0,2.0,MAPA,3.0,4.0
nao informado,30000000000.0,Molho agridoce / culinário,B2B,Interno,5.0,3.0,22.3,4.0,3.0,3.0,5.0,Nenhuma,2.0,1.0
nao informado,4200000000.0,Chutney de manga,B2C,Interno,4.0,3.0,14.26,1.0,3.0,2.0,5.0,Nenhuma,1.0,2.0
TropFruit Ingredients,650000000.0,Fibra alimentar de manga,B2C,Externo,4.0,2.0,14.67,3.0,2.0,2.0,1.0,MAPA,3.0,1.0
MangaVale Alimentos,480000000.0,Subproduto industrial de bagaço processado,B2B,Ambos,4.0,3.0,18.06,3.0,4.0,3.0,3.0,ISO/HACCP,3.0,1.0
Ambev (bebidas),72000000000.0,Molho agridoce / culinário,B2C,Interno,4.0,3.0,29.65,3.0,5.0,3.0,3.0,ISO/HACCP,2.0,3.0
AgroDoce Nordeste,220000000.0,Ração / ingrediente para ração animal,B2B,Externo,5.0,3.0,22.09,2.0,1.0,2.0,1.0,MAPA,2.0,2.0
TropFruit Ingredients,650000000.0,Snack de manga desidratada,B2B,Ambos,3.0,3.0,33.57,1.0,5.0,5.0,3.0,MAPA,3.0,5.0
MangaTech Foods,760000000.0,Ingrediente antioxidante,B2C,Interno,4.0,2.0,27.2,3.0,4.0,4.0,3.0,Internacional,2.0,4.0
Cargill Brasil,115000000000.0,Snack de manga desidratada,B2C,Interno,2.0,2.5,42.07,1.0,2.0,1.0,4.0,ISO/HACCP,4.0,2.0
Cutrale,30000000000.0,nao informado,B2B,Externo,3.0,2.0,30.76,1.0,3.0,2.0,3.0,MAPA,4.0,1.0
BRF Ingredients,53000000000.0,Fibra alimentar de manga,B2B,Interno,2.0,2.5,25.49,2.0,3.0,4.0,3.0,Internacional,3.0,3.0
VerdePulp Brasil,310000000.0,Cubos IQF,B2B,Ambos,4.0,2.5,19.73,2.0,3.0,1.0,3.0,ANVISA,3.0,2.0
TropFruit Ingredients,650000000.0,Manga desidratada em pedaços,B2C,Ambos,3.0,3.5,28.89,4.0,4.0,4.0,3.0,Nenhuma,3.0,3.0
nao informado,180000000.0,Manga desidratada em pedaços,B2C,Interno,2.0,3.0,21.4,4.0,1.0,3.0,2.0,Internacional,5.0,3.0
Kerry do Brasil,9000000000.0,Geleia/compota,B2B,Interno,3.0,3.0,42.36,4.0,2.0,3.0,2.0,nao informado,4.0,1.0
VerdePulp Brasil,310000000.0,nao informado,B2B,Externo,2.0,3.0,37.04,4.0,3.0,1.0,2.0,ANVISA,1.0,2.0
TropFruit Ingredients,650000000.0,Suco pronto (NFC),B2B,Interno,3.0,2.0,18.41,3.0,5.0,3.0,1.0,Nenhuma,3.0,3.0
Kerry do Brasil,9000000000.0,Cubos IQF,B2C,Ambos,3.0,2.5,42.05,4.0,4.0,3.0,1.0,ISO/HACCP,3.0,5.0
Duas Rodas,4200000000.0,Fibra alimentar de manga,B2B,Ambos,3.0,2.5,15.19,1.0,1.0,4.0,4.0,Nenhuma,4.0,2.0
NordFruit Export,540000000.0,Biocomposto / fertilizante orgânico,B2B,Externo,3.0,3.5,30.55,4.0,3.0,3.0,3.0,MAPA,4.0,3.0
Fazenda Sol do Vale,180000000.0,Sorbet / picolé,B2B,Externo,4.0,2.5,17.92,3.0,3.0,3.0,2.0,ANVISA,1.0,1.0
